tic,ra,dec,n_sectors,min_sector,max_sector,observed_sectors,sectors_since_94,observed_since_94,resolver
278140156,108.1754774,-81.0344262,16,4,94,"4,7,11,12,13,27,34,38,61,64,65,66,67,88,93,94",94,True,local
278225267,284.4939715,-33.214279,4,13,94,"13,67,92,94",94,True,local
278271171,112.3015672,-82.18223851,12,11,94,"11,12,13,27,38,64,65,66,67,88,93,94",94,True,local
278415929,117.2804874,-80.8936394,12,7,94,"7,11,13,27,38,39,64,65,66,67,93,94",94,True,local
278542841,121.9840381,-80.49149452,13,11,94,"11,12,13,27,37,38,39,64,65,66,67,93,94",94,True,local
278593268,123.3656166,-81.32716926,11,11,94,"11,13,27,38,39,64,65,66,67,93,94",94,True,local
278866211,100.8078943,-55.2445539,34,1,96,"1,2,3,5,6,8,9,11,12,13,28,29,30,32,33,34,35,36,38,39,61,62,65,66,67,68,69,87,88,89,93,94,95,96","94,95,96",True,local
278990501,102.0077556,-58.88905093,41,1,96,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,96","94,96",True,local
279021812,313.8307294,42.72551394,7,15,83,"15,55,56,75,76,82,83",,False,local
279322913,104.2839565,-57.62571145,40,1,96,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,69,87,89,90,93,94,95,96","94,95,96",True,local
279323859,104.2454358,-59.16113262,42,1,96,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,66,67,68,69,87,88,89,90,93,94,95,96","94,95,96",True,local
279447155,327.8945508,26.73534937,4,15,83,"15,56,82,83",,False,local
279449126,327.9340327,28.92683924,4,15,83,"15,56,82,83",,False,local
279510159,105.4887452,-58.12340116,43,1,96,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,95,96","94,95,96",True,local
280053651,45.93326668,-76.26944334,14,1,96,"1,2,13,27,28,29,66,67,68,69,93,94,95,96","94,95,96",True,local
280095254,46.19618478,-73.3965754,18,2,96,"2,6,13,27,28,29,36,63,66,67,68,69,87,90,93,94,95,96","94,95,96",True,local
280685089,342.8207545,-83.49064847,6,13,94,"13,27,66,67,93,94",94,True,local
280723416,344.4304845,-78.40819793,5,1,95,"1,13,27,94,95","94,95",True,local
280867169,101.2761194,-82.58374496,14,4,94,"4,11,12,13,27,38,39,61,65,66,67,88,93,94",94,True,local
281494100,112.1955266,-56.40912167,20,3,94,"3,6,7,9,10,13,30,33,34,35,36,61,62,63,67,87,88,89,90,94",94,True,local
281494116,112.2426093,-56.42997803,20,3,94,"3,6,7,9,10,13,30,33,34,35,36,61,62,63,67,87,88,89,90,94",94,True,local
281924357,129.7570608,-74.7632053,17,3,93,"3,6,10,11,12,13,33,36,37,38,39,64,65,66,87,90,93",,False,local
281947762,286.5887862,27.71328388,7,14,81,"14,40,53,54,74,80,81",,False,local
282279756,213.3128959,-83.6812709,7,12,93,"12,13,38,39,65,66,93",,False,local
282555160,311.8935851,27.24819372,4,14,55,"14,15,41,55",,False,local
282755773,312.2710365,25.67027895,5,14,82,"14,15,41,55,82",,False,local
282925798,226.9590002,63.11710467,10,15,77,"15,16,21,22,23,41,48,50,75,77",,False,local
283156726,313.4349506,27.72618143,4,15,82,"15,41,55,82",,False,local
283836833,8.648249589,62.59047383,6,17,85,"17,18,24,58,78,85",,False,local
283846399,315.9265861,22.08661254,4,15,82,"15,41,55,82",,False,local
284595199,198.7777315,44.04263225,4,16,76,"16,22,49,76",,False,local
285507306,27.89907245,51.80012754,3,18,85,"18,58,85",,False,local
285676468,53.12704123,51.17187791,3,18,86,"18,59,86",,False,local
285938173,54.07948409,48.37702989,3,18,86,"18,59,86",,False,local
286373310,72.0061445,53.11622229,4,19,86,"19,59,73,86",,False,local
286373319,72.00714855,53.12201417,4,19,86,"19,59,73,86",,False,local
286382512,260.7820792,25.75303379,4,25,79,"25,26,53,79",,False,local
286405674,45.39241767,64.76128112,5,18,86,"18,19,58,59,86",,False,local
286566741,45.72404231,64.82567917,5,18,86,"18,19,58,59,86",,False,local
287022336,73.56222532,48.60813621,4,19,86,"19,59,73,86",,False,local
287156968,118.1287805,-83.82473121,11,11,94,"11,12,13,27,38,39,65,66,67,93,94",94,True,local
287224990,143.9150464,50.07300437,2,21,48,"21,48",,False,local
287298034,168.7871278,48.59091602,3,21,75,"21,48,75",,False,local
288323785,301.2706024,20.23014124,4,14,81,"14,41,54,81",,False,local
288391628,266.9621835,83.42867546,18,14,86,"14,18,19,20,21,25,40,41,47,52,53,59,60,73,74,78,79,86",,False,local
289236608,315.1738029,48.77947694,8,15,83,"15,16,55,56,75,76,82,83",,False,local
289431048,315.3825864,51.57999384,8,15,83,"15,16,55,56,75,76,82,83",,False,local
290356815,232.7011833,-84.22223757,6,12,93,"12,13,39,65,66,93",,False,local
290410012,236.4757243,-85.16450949,6,12,93,"12,13,39,65,66,93",,False,local
290552720,244.8671764,-86.4954339,6,12,94,"12,13,39,65,67,94",94,True,local
290653746,8.833431487,-81.57615457,10,1,95,"1,13,27,28,66,67,68,93,94,95","94,95",True,local
290766957,309.8929086,28.28795685,5,14,82,"14,15,41,55,82",,False,local
291145873,310.1761066,26.07919144,5,14,82,"14,15,41,55,82",,False,local
291825023,274.4075419,-43.25192073,3,13,93,"13,66,93",,False,local
291831495,274.2846376,-44.887238,3,13,93,"13,66,93",,False,local
291833006,274.4190631,-45.29002425,3,13,93,"13,66,93",,False,local
292012143,279.3962654,-43.4084198,3,13,93,"13,66,93",,False,local
292122717,272.481602,-51.16748214,4,13,93,"13,39,66,93",,False,local
292125267,272.4741017,-52.08791266,4,13,93,"13,39,66,93",,False,local
292125277,272.4940447,-52.09139364,4,13,93,"13,39,66,93",,False,local
292127048,272.4325898,-52.77538588,3,13,93,"13,66,93",,False,local
292127642,272.473843,-53.02488242,4,13,93,"13,39,66,93",,False,local
292127687,272.4596009,-53.04398016,4,13,93,"13,39,66,93",,False,local
292214881,282.358734,-51.61769468,4,13,94,"13,66,93,94",94,True,local
292274582,31.6701785,47.74183874,3,18,85,"18,58,85",,False,local
292693046,33.20583639,47.1965242,3,18,85,"18,58,85",,False,local
292776690,274.9032201,-78.25959975,6,12,94,"12,13,39,66,93,94",94,True,local
292937494,34.28133961,45.83838837,3,18,85,"18,58,85",,False,local
293328247,261.4649782,-70.40963919,4,12,93,"12,13,39,93",,False,local
293331179,261.221265,-68.53383808,5,12,93,"12,13,39,66,93",,False,local
293333013,261.3901663,-67.56478757,5,12,93,"12,13,39,66,93",,False,local
293480909,49.98573108,-82.15524523,12,1,95,"1,12,13,27,28,39,66,67,68,93,94,95","94,95",True,local
293525651,351.9020632,-74.05094223,8,1,95,"1,13,27,28,67,68,94,95","94,95",True,local
293617835,135.2975365,55.85994442,4,20,74,"20,21,47,74",,False,local
293664120,262.8057029,-67.39866275,3,12,39,"12,13,39",,False,local
293954617,300.6142639,53.37681548,12,14,83,"14,15,16,41,54,55,56,75,76,81,82,83",,False,local
293962038,264.0545728,-66.98437313,3,12,39,"12,13,39",,False,local
294059372,263.9326975,-71.40679476,5,12,93,"12,13,39,66,93",,False,local
294059397,263.9432318,-71.42673777,5,12,93,"12,13,39,66,93",,False,local
294148079,264.6071989,-69.62611164,5,12,93,"12,13,39,66,93",,False,local
294200378,264.9141401,-66.98031394,3,12,39,"12,13,39",,False,local
294200509,264.8284625,-66.91677279,3,12,39,"12,13,39",,False,local
294299078,265.3690109,-71.59868448,5,12,93,"12,13,39,66,93",,False,local
294325257,108.9149679,-56.09339558,25,3,96,"3,6,7,8,9,10,13,30,33,34,35,36,39,61,62,63,67,69,87,88,89,90,93,94,96","94,96",True,local
294327312,108.8712102,-58.54262273,41,1,96,"1,2,3,4,5,6,7,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,66,67,68,69,87,88,89,90,93,94,95,96","94,95,96",True,local
294396667,109.2968653,-56.3223778,23,3,96,"3,6,7,8,9,10,13,30,33,34,35,36,61,62,63,67,69,87,88,89,90,94,96","94,96",True,local
294611659,267.0054945,-68.85655708,5,12,93,"12,13,39,66,93",,False,local
294683885,302.370258,52.46462189,10,14,83,"14,16,41,55,56,75,76,81,82,83",,False,local
294765664,267.7165972,-69.28317758,5,12,93,"12,13,39,66,93",,False,local
294871044,109.1147855,-59.17310892,42,1,96,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,66,67,68,69,87,88,89,90,93,94,95,96","94,95,96",True,local
294890615,268.6165166,-67.84000619,5,12,93,"12,13,39,66,93",,False,local
295125030,269.6499741,-71.3684827,5,12,93,"12,13,39,66,93",,False,local
295125033,269.6605689,-71.36788294,5,12,93,"12,13,39,66,93",,False,local
295167241,269.9605539,-69.17819123,5,12,93,"12,13,39,66,93",,False,local
295169431,270.1190739,-70.32022027,5,12,93,"12,13,39,66,93",,False,local
295174363,270.3088932,-70.66068506,5,12,93,"12,13,39,66,93",,False,local
295296524,303.2075381,49.4508623,9,14,83,"14,15,16,41,75,76,81,82,83",,False,local
295302063,303.407257,48.15470809,10,14,83,"14,15,41,55,56,75,76,81,82,83",,False,local
295313132,270.9469887,-67.96683134,5,12,93,"12,13,39,66,93",,False,local
295541511,273.6022255,-66.4198078,2,13,39,"13,39",,False,local
