astro_id,tic,n_pts,P0,P_bls,t0_bls,snr_P0,snr_bls,dpri,dsec,oe_z,half_period_sig,stale_ratio,weak,catalog_unrelated,single_sector,risk_score,flag,note
3614,450559047,41717,1.476976,1.473751,1571.36099,2.2,4.7,5.4,7.8,1.5,False,2.19,True,False,True,0.9,stale,
3615,450619932,48867,1.64642,1.646691,1571.31168,4.3,7.1,17.4,17.1,0.3,False,1.67,False,False,True,0.6,stale,
3616,450631859,51255,3.779948,3.779647,1574.29113,4.0,11.6,10.2,12.7,1.2,False,2.9,False,False,True,0.6,stale,
3618,450679858,38552,16.411295,16.421665,1587.13414,1.7,6.0,6.1,8.7,3.1,False,3.54,False,False,True,0.6,stale,
3658,455389013,26407,0.618072,0.617705,1599.82508,8.3,103.5,189.1,177.9,8.4,False,12.45,False,False,True,0.6,stale,
3659,455416026,25967,2.431395,2.43434,1600.69751,2.2,13.2,36.0,34.5,0.4,False,6.01,False,False,True,0.6,stale,
3660,455481912,26120,1.137517,1.135397,1600.44977,2.0,6.5,5.9,8.9,2.6,False,3.18,False,False,True,0.6,stale,
3662,456058602,53206,5.80047,5.782932,1625.95907,2.0,776.4,0.2,1430.3,983.9,True,379.47,False,False,True,1.05,half_period,
3665,457455011,45451,0.507556,0.507398,1599.29345,1.2,73.4,68.8,77.9,5.7,False,60.59,False,False,True,0.6,stale,
3666,457462086,45466,2.194556,2.197225,1599.56566,3.2,8.5,18.9,21.2,1.1,False,2.67,False,False,True,0.6,stale,
3667,457544563,46714,1.024893,1.024751,1544.4922,3.4,11.2,15.6,30.7,10.9,True,3.29,False,False,True,1.05,half_period,
3668,457591834,45700,0.493524,0.49406,1571.26507,1.6,5.5,13.9,13.5,0.2,False,3.42,False,False,True,0.6,stale,
3678,459042543,45678,9.59058,9.594575,1571.23607,1.4,24.3,24.1,31.7,7.7,True,17.44,False,False,True,1.05,half_period,
3679,459042546,45678,9.59058,9.594729,1571.21129,1.1,22.1,27.1,29.3,3.2,False,19.49,False,False,True,0.6,stale,
3682,459437456,53657,0.803246,0.802843,1571.41958,3.5,12.9,16.0,17.7,1.1,False,3.68,False,False,True,0.6,stale,
3683,459670193,43919,1.378365,1.377957,1571.99532,1.8,9.0,13.2,14.7,1.0,False,4.98,False,False,True,0.6,stale,
3699,460557335,52058,2.162976,2.160345,1599.73905,2.9,12.3,32.5,33.7,0.0,False,4.29,False,False,True,0.6,stale,
3705,461022608,46751,5.216246,5.211748,1575.75277,3.5,17.6,26.4,19.6,5.3,True,5.01,False,False,True,1.05,half_period,
3707,461272446,29798,0.444461,0.444413,1600.10965,0.9,39.7,101.9,102.6,0.4,False,44.71,False,False,True,0.6,stale,
3708,461278438,29633,0.651405,0.651592,1600.38084,3.5,6.7,10.3,9.6,0.4,False,1.92,False,False,True,0.6,stale,
3670,457864221,46632,2.297809,2.297361,1545.84802,2.3,8.8,10.6,10.0,0.0,False,3.74,False,False,True,0.6,stale,
3674,458835698,45698,1.701162,1.70104,1571.53855,5.4,10.7,12.6,14.6,1.2,False,1.99,False,False,True,0.6,stale,
3675,458836406,45697,1.271996,1.271727,1571.35202,4.7,9.2,17.7,17.6,0.3,False,1.96,False,False,True,0.6,stale,
3677,459007525,46735,3.473581,3.473068,1573.13556,4.2,28.5,27.8,27.8,0.7,False,6.77,False,False,True,0.6,stale,
3710,461963757,22128,2.88698,2.886938,1628.68406,166.5,157.9,205.1,194.9,29.6,False,0.95,False,False,True,0.25,ok,
3714,463178502,46690,2.089476,2.088851,1545.59453,2.5,20.0,33.7,32.3,1.0,False,7.95,False,False,True,0.6,stale,
3715,463202584,46659,2.743643,2.743246,1544.61518,2.2,4.2,6.6,3.3,2.3,False,1.93,True,False,True,0.9,stale,
3717,463239707,46656,2.439476,2.439489,1545.42518,9.0,10.7,13.8,10.5,2.6,False,1.19,False,False,True,0.25,ok,
3684,459713293,53644,1.75394,1.753282,1572.92281,1.9,10.0,16.9,15.9,1.2,False,5.39,False,False,True,0.6,stale,
3688,459997974,46745,5.551004,5.547663,1573.54339,1.7,28.3,50.1,49.5,0.4,False,16.85,False,False,True,0.6,stale,
3692,460241334,46790,2.09642,2.095941,1571.72295,3.8,31.4,52.7,53.3,0.6,False,8.25,False,False,True,0.6,stale,
3693,460298963,46761,1.268643,1.271252,1572.27715,4.5,7.8,23.3,21.5,1.4,False,1.75,False,False,True,0.6,stale,
3640,452267394,30874,2.979664,2.978039,1572.91518,4.8,23.8,22.8,23.7,0.4,False,4.98,False,False,True,0.6,stale,
3641,452268602,30838,1.395726,1.418485,1572.36455,3.5,3.8,2.2,-0.6,2.0,False,1.09,True,False,True,0.55,weak,
3643,452355750,30558,7.20161,7.226645,1573.12866,3.8,3.2,2.6,3.8,0.5,False,0.86,True,False,True,0.55,weak,
3646,453100658,222797,1.804059,1.804545,1327.29802,4.3,23.0,36.6,32.4,2.8,False,5.31,False,False,True,0.6,stale,
3721,463588146,46642,2.167254,2.166736,1546.36113,4.0,11.0,16.4,10.1,3.3,False,2.77,False,False,True,0.6,stale,
3723,463627281,46652,0.265865,0.265794,1544.61223,2.6,4.4,11.6,11.4,0.1,False,1.71,True,False,True,0.9,stale,
3724,463637465,46739,2.264476,2.265025,1545.0568,2.4,7.3,18.2,19.9,0.8,False,3.04,False,False,True,0.6,stale,
3725,463640655,46693,1.845726,1.847377,1544.54319,2.1,5.3,10.3,9.4,0.7,False,2.53,False,False,True,0.6,stale,
3727,464825418,25427,0.973628,0.973421,1629.05786,1.4,20.6,49.1,49.0,0.2,False,14.74,False,False,True,0.6,stale,
3728,464853936,25431,2.073466,2.073502,1629.8704,97.0,108.4,240.4,253.7,1.0,False,1.12,False,False,True,0.25,ok,
3729,464887100,46823,1.272692,1.273299,1571.55971,2.4,10.8,21.4,22.1,0.6,False,4.56,False,False,True,0.6,stale,
3730,464889047,43931,2.885309,2.881083,1572.11352,2.5,4.5,7.6,6.6,0.8,False,1.84,True,False,True,0.9,stale,
3736,465019072,43954,1.750587,1.750642,1571.34279,12.6,11.5,19.3,17.6,0.8,False,0.91,False,False,True,0.25,ok,
3737,465046271,41138,2.172809,2.173355,1572.6281,2.1,7.8,9.9,8.6,0.7,False,3.76,False,False,True,0.6,stale,
3738,465050952,41190,1.148504,1.148513,1572.22009,13.7,16.1,40.0,35.4,2.1,False,1.17,False,False,True,0.25,ok,
3739,465053247,41196,1.199198,1.199489,1571.61539,2.0,18.9,41.0,47.9,4.9,False,9.5,False,False,True,0.6,stale,
3745,465249457,47528,0.869337,0.86839,1571.5338,1.6,6.4,11.1,9.1,1.3,False,3.92,False,False,True,0.6,stale,
3746,465310562,44055,1.825484,1.828208,1571.88667,4.7,12.6,14.8,15.3,1.6,False,2.67,False,False,True,0.6,stale,
3748,465377865,43931,2.341559,2.340941,1572.72883,2.2,7.7,6.4,11.7,4.2,False,3.42,False,False,True,0.6,stale,
3749,465466788,26151,2.420032,2.419894,1572.6936,6.9,8.6,6.2,10.2,2.5,False,1.25,False,False,True,0.45,ok,
3740,465055985,44075,2.145032,2.143416,1572.91023,3.7,7.9,12.5,5.5,4.9,False,2.16,False,False,True,0.6,stale,
3741,465139437,47518,1.396303,1.395566,1571.28442,1.6,6.1,8.2,17.2,6.6,True,3.74,False,False,True,1.05,half_period,
3742,465179776,44114,7.607544,7.605222,1571.90359,5.0,52.0,115.3,75.3,3.1,False,10.32,False,False,True,0.6,stale,
3743,465183119,43973,4.123648,4.124662,1575.17384,2.4,8.5,11.5,10.8,1.2,False,3.56,False,False,True,0.6,stale,
3732,464937865,47489,3.226282,3.223897,1574.33636,1.9,3.9,7.8,5.7,1.3,False,2.01,True,False,True,0.9,stale,
3733,464971546,47512,1.459615,1.459529,1571.87125,6.7,9.8,13.7,12.0,1.6,False,1.48,False,False,True,0.45,ok,
3734,465013317,33165,2.773504,2.775296,1573.88166,2.0,11.6,10.4,9.1,1.0,False,5.88,False,False,True,0.6,stale,
3735,465014168,46709,5.622516,5.621361,1574.58082,4.3,10.1,9.0,8.9,0.1,False,2.35,False,False,True,0.6,stale,
3750,465511152,44322,0.925587,0.92567,1571.33537,20.0,37.5,143.6,140.2,0.1,False,1.87,False,False,True,0.6,stale,
3752,465594558,47503,2.279754,2.280838,1571.71784,2.6,6.2,10.4,9.0,0.9,False,2.41,False,False,True,0.6,stale,
3753,465617523,47515,0.461581,0.461537,1571.52006,2.2,5.5,16.9,16.7,0.2,False,2.5,False,False,True,0.6,stale,
3755,465727783,8969,1.783226,1.783129,1572.81498,8.6,9.6,19.1,11.8,3.7,False,1.12,False,False,True,0.25,ok,
3762,466056926,47509,3.076976,3.076059,1572.18197,2.2,9.4,14.6,15.4,0.8,False,4.22,False,False,True,0.6,stale,
3764,466108918,49147,2.330664,2.326987,1571.95315,3.7,4.2,5.2,6.8,1.4,False,1.12,True,False,True,0.55,weak,
3766,466115813,49226,2.430448,2.429234,1573.15278,1.6,19.9,28.3,34.7,3.8,False,12.18,False,False,True,0.6,stale,
3767,466120902,52198,2.561698,2.562874,1573.26524,3.1,9.2,17.2,17.9,1.2,False,2.94,False,False,True,0.6,stale,
3757,465894544,44055,3.766062,3.764964,1572.58026,4.7,9.9,7.8,15.3,5.1,True,2.13,False,False,True,1.05,half_period,
3759,465933753,49183,3.505659,3.50785,1572.42591,3.3,34.9,60.7,49.2,3.9,False,10.47,False,False,True,0.6,stale,
3760,465942387,49849,1.000587,1.000796,1572.17572,2.2,13.1,23.7,31.3,4.7,False,5.99,False,False,True,0.6,stale,
3761,466055538,47576,2.928002,2.924439,1571.72625,2.8,8.1,11.8,8.4,2.7,False,2.89,False,False,True,0.6,stale,
3768,466139024,52128,1.392254,1.392042,1572.35135,4.7,16.9,38.6,37.5,0.4,False,3.6,False,False,True,0.6,stale,
3769,466146444,52037,4.362426,4.362596,1575.28753,7.0,9.4,8.0,13.0,3.8,False,1.36,False,False,True,0.45,ok,
3770,466249712,37265,1.758109,1.756481,1571.95609,2.6,16.8,34.1,38.4,1.2,False,6.37,False,False,True,0.6,stale,
3771,466259050,55512,0.839476,0.839823,1571.90077,1.1,7.9,5.7,12.4,4.6,False,7.11,False,False,True,0.6,stale,
3772,466284608,52082,1.258226,1.258597,1572.27546,1.9,10.6,18.2,16.3,1.6,False,5.57,False,False,True,0.6,stale,
3773,466288033,41223,0.990865,0.990118,1571.43916,3.7,9.1,12.6,15.7,2.1,False,2.49,False,False,True,0.6,stale,
3774,466292385,52200,0.875587,0.874301,1571.48011,2.1,5.9,6.5,8.2,1.1,False,2.74,False,False,True,0.6,stale,
3775,466318186,49190,1.12142,1.121563,1571.3565,2.7,6.7,8.4,10.4,1.4,False,2.44,False,False,True,0.6,stale,
3784,466670216,52111,4.634461,4.627078,1573.73236,7.6,8.3,19.6,16.3,2.1,False,1.09,False,False,True,0.25,ok,
