TIC,Per,e_Per,BJD0,Morph
0349790953,1.5520821,2.7378193e-05,1571.180338,0.423
0150442264,2.9816876,3.4751332e-05,1326.987074,0.671
0032449963,6.5204909,0.00010647149,1574.694806,0.156
0092902951,2.2464835,6.9863906e-05,1572.841528,0.583
0467167691,0.359403,1.3440767e-06,1569.773783,0.933
0415873588,3.4913476,1.0826614e-05,1572.205715,0.5
0288027491,32.2082685,0.00011644408,1580.468391,0.116
0141685465,7.8074225,9.6863305e-05,1416.199451,0.22
0178859380,0.3307902,6.0200459e-08,1570.979532,0.746
0029777922,0.5305975,6.4835298e-07,1570.600277,0.876
0055404385,2.9520513,2.3234695e-07,1571.81904,0.324
0124282575,4.8103945,0.00015409529,1573.261039,0.314
0303441920,0.9176657,3.6999483e-06,1570.88219,0.885
0163648025,1.7301722,4.5373352e-06,1572.21767,0.625
0355152971,8.0760327,4.9892434e-05,1547.550746,0.452
0271596290,1.282475,3.6597428e-08,1599.28381,0.576
0459809633,0.5094438,4.0801543e-05,1570.213926,0.632
0308184924,4.1284274,1.3322136e-05,1573.17766,0.311
0167654878,0.4939027,2.1970507e-06,1544.606265,0.961
0001630690,0.4136605,1.2487834e-06,1571.173452,0.965
0437322147,10.6151213,0.004392034,1578.706956,0.317
0124095230,10.6190279,1.2029113e-05,1567.979943,0.159
0452631268,22.122466,7.5914305e-05,1577.338811,0.025
0370101325,0.5090886,2.1615051e-06,1544.303895,0.897
0350480660,4.4638235,9.3006821e-07,1386.352604,0.302
0300871545,4.8170762,4.4201933e-06,1327.375881,0.197
0219699532,1.0810901,5.4938167e-05,1571.469284,0.594
0309658221,7.5949887,2.8242453e-05,1334.825188,0.247
0167692429,10.2628479,5.6030761e-06,1330.575659,0.172
0459293335,1.2092164,0.00021491482,1570.533008,0.486
0458859364,2.2997312,6.745655e-05,1571.725391,0.59
0462785373,31.8437697,0.0094143042,1569.102342,0.162
0446832107,6.1945476,4.8617424e-05,1544.243461,0.217
0433277449,6.2020381,0.0043565234,1574.686269,0.376
0298700310,0.7130761,4.555262e-05,1543.951596,0.735
0279089927,1.9059241,7.6780628e-06,1599.206338,0.772
0382517745,10.4410548,1.2945753e-05,1603.214022,0.069
0453097744,1.0572138,3.9996914e-06,1598.209823,0.782
0402447670,4.3536788,0.00039094166,1573.746084,0.868
0458474559,1.3905824,0.00061075641,1570.760461,0.524
0348897766,0.4420565,8.0787584e-09,1325.631569,0.81
0140659980,9.4400721,2.3993181e-06,1602.037316,0.085
0023328912,2.5640164,3.8824156e-06,1571.249904,0.52
0165458777,0.2926701,6.0474956e-07,1571.011702,0.759
0029778064,0.4946419,1.5255756e-06,1544.702108,0.635
0410654298,19.9520732,0.0073926915,1584.416263,0.05
0349308842,3.5827778,1.7208517e-05,1414.565521,0.384
0303811839,6.9206307,0.00050976134,1570.335192,0.123
0219912046,1.7797694,6.5005243e-06,1544.155615,0.516
0302995864,1.2814346,3.136495e-08,1545.33129,0.617
0005868998,0.6356447,0.00011728278,1571.067575,0.443
0370101492,1.6318813,2.4859993e-06,1571.561682,0.766
0422327572,0.4095596,0.00011446756,1570.861987,0.857
0097908039,5.1397073,0.0064080647,1573.188061,0.6
0341193555,9.7242239,0.00033783201,1570.629766,0.134
0260536927,5.729652,7.2163961e-06,1599.423616,0.335
0317642317,1.3872943,1.2857685e-05,1570.595498,0.72
0278956474,5.4880499,1.1506024e-05,1327.960807,0.314
0260132330,17.2987798,1.6990495e-05,1417.551242,0.075
0055497281,14.9053608,1.3565754e-06,1607.21355,0.07
0401227592,1.3990757,0.00021877231,1571.618845,0.477
0386166904,12.3556695,7.9758985e-05,1545.517561,0.189
0425064757,0.2615397,2.4370772e-09,1598.424348,0.447
0177077475,23.4262368,0.00042831231,1363.669777,0.051
0238196979,9.4228509,3.5198894e-05,1363.402162,0.313
0287328866,2.0767992,2.1727218e-06,1598.809076,0.4
0149573659,4.373719,1.1529184e-06,1412.492457,0.175
0399144800,27.2154167,0.00040470098,1580.344167,0.124
0162585265,0.5123344,1.8991714e-06,1571.073096,0.593
0022457438,0.3606758,4.7402654e-07,1571.283005,0.717
0098628827,0.4908602,0.00016200855,1571.058791,0.921
0158713903,3.5943016,5.9093797e-06,1546.438457,0.481
0321455348,7.6818847,0.039920091,1577.219859,0.213
0450637853,0.4971263,2.0282662e-05,1571.011645,0.784
0142109430,0.6141031,5.001145e-07,1544.510988,0.821
0231075361,0.3197352,2.6318617e-07,1598.587683,1.002
0280667311,1.627885,2.8441996e-05,1569.781957,0.935
0167890109,0.3769767,4.1723763e-08,1570.853334,0.709
0319936228,9.6464394,7.2869839e-07,1575.950954,0.321
0030034081,2.3446089,0.0001275134,1411.553116,0.506
0309257814,1.2383848,4.1661759e-05,1571.762231,0.362
0308457026,0.6439002,5.7194898e-07,1520.289358,1.01
0399423563,0.8841726,4.4427952e-06,1570.406662,0.685
0147026702,2.0728219,6.1029481e-05,1544.486644,0.456
0158673914,0.3733744,7.3838064e-08,1544.537465,0.751
0318825030,5.1848468,6.5352921e-05,1572.2083,0.266
0347809861,1.811452,9.6026397e-07,1572.344375,0.54
0296449358,0.3351379,1.5760596e-07,1544.173528,0.943
0349154435,4.4321625,6.5523295e-06,1598.640582,0.192
0260128333,14.6085828,8.3907857e-06,1585.166674,0.123
0282051803,2.4636031,4.8238846e-06,1570.565355,0.414
0363149298,3.1756342,8.647839e-05,1544.343132,0.542
0382067804,26.1313581,3.3793419e-05,1417.837773,0.164
0399253092,8.7212403,5.5783111e-05,1570.821868,0.294
0015445546,1.6827975,0.00010593724,1571.351851,0.445
0452734608,1.9944549,4.2355967e-06,1571.206071,0.565
0298079609,0.495386,3.9007996e-06,1545.336782,0.834
0382028425,8.846201,4.0560394e-05,1366.145293,0.353
0279569707,3.9794091,1.0807436e-06,1356.107177,0.384
0308451526,0.7896583,1.0435304e-06,1544.369226,0.596
0231810776,0.2327289,6.8553886e-08,1438.150703,0.704
0147214032,2.4877086,2.7054207e-05,1545.859987,0.488
0443494454,3.575533,0.00035666532,1543.845207,0.41
0350622185,1.1685719,8.2032411e-07,1326.139488,0.585
0408552008,0.5234448,1.4042126e-06,1570.907543,0.41
0437297176,4.3960301,0.00010275789,1574.701897,0.544
0021827849,0.9426368,0.0007903763,1571.580823,0.458
0382512330,0.8911385,4.1338673e-07,1545.136768,0.866
0141333573,4.2473074,7.5028903e-06,1574.203975,0.378
0131625230,2.2134409,0.00022618087,1544.013927,0.491
0220359766,1.7598716,6.0980109e-06,1544.206651,0.506
0260131665,1.6725346,6.6143321e-07,1599.678685,0.661
0278683641,4.2418211,2.2401863e-07,1329.039325,0.314
0309146836,5.4279442,3.5272345e-06,1544.789549,0.255
0439519959,2.4468506,2.8829695e-05,1545.431943,0.555
0083135408,1.8017221,1.2619317e-05,1570.487973,0.531
0260502102,7.3152083,7.7319914e-07,1600.080265,0.125
0318512022,4.8242518,0.00013114385,1570.524665,0.291
0299702740,1.4652035,4.9699046e-05,1545.157071,0.616
0390554357,3.6473992,2.3425102e-07,1573.365733,0.579
0118313102,9.255727,4.436656e-06,1518.556197,0.18
0248111238,4.6551796,0.0043857635,1573.45656,0.347
0142262969,15.5149339,1.5331987e-05,1573.343006,0.086
0388129029,0.2972816,1.7650585e-06,1544.509825,0.81
0141914317,0.4371692,1.301704e-06,1544.697299,0.784
0094637805,0.2768891,2.4279734e-06,1570.788421,0.786
0167526485,5.0114962,1.3205071e-05,1574.994566,0.547
0141809359,12.15756,2.1849156e-05,1607.719265,0.089
0258314976,4.9662683,0.00010572198,1574.043822,0.437
0324675819,3.3029374,0.00014854749,1573.608122,0.456
0350479101,11.9168906,8.7286598e-06,1581.038665,0.127
