tid,toi,pl_orbper,pl_tranmid,tfopwg_disp
153949511,1277.02,14.8559691,2460319.121018,PC
417676622,1290.01,5.3987355,2460551.373546,KP
198186769,1291.01,7.16199,2459734.427241,PC
199688472,1292.01,1.4412175,2460351.142333,FP
202504234,1293.01,1.6849938,2459689.485255,PC
219015370,1294.01,3.9152737,2459663.161776,CP
219852584,1295.01,3.1968838,2459913.379043,CP
219854185,1296.01,3.9443668,2459766.962599,CP
229536616,1297.01,3.93034,2458686.93866,FP
237104103,1298.01,4.5371361,2459764.419877,CP
258777134,1299.01,5.929405,2459599.130762,FP
263003176,130.01,14.3392144,2458336.557651,CP
293687315,1300.01,2.8716983,2460419.967332,KP
356867115,1301.01,6.0964074,2459710.294209,CP
356867115,1301.02,,2458999.462385,PC
441797803,1302.01,5.6666168,2459738.402777,PC
185405474,1303.01,1.56029,2458684.13635,FP
186000935,1304.01,8.8735214,2460552.790682,FP
232679662,1305.01,7.8513774,2460650.647652,FP
233735068,1306.01,7.6869063,2459852.045455,FP
236815160,1307.01,2.534612,2459764.134636,APC
277014266,1308.01,1.3797091,2459446.290468,FP
287190564,1309.01,1.49861,2458684.76284,FP
235037761,131.01,6.2407826,2460173.338551,APC
294179389,1310.01,2.6796,2458685.4705,FP
378159598,1311.01,6.1406417,2459392.644018,APC
405904232,1312.01,11.0765063,2460549.082741,FP
11111899,1313.01,0.6193401,2460557.800973,FP
136848581,1314.01,2.6400663,2460365.8222,FP
137284119,1315.01,2.5778717,2459820.409101,FP
15565627,1316.01,3.80509,2458684.06072,FP
165523947,1317.01,2.99041,2458711.85776,FP
167092385,1318.01,4.9865029,2460557.056579,PC
167098530,1319.01,0.890967,2459823.85374,FP
89020549,132.01,2.1096805,2458326.904918,CP
167403519,1320.01,3.9729429,2460556.464958,PC
195199644,1321.01,1.19888,2458712.25971,FP
240450679,1322.01,3.37644,2458711.44969,APC
256886630,1323.01,2.03905,2458713.20059,FP
266688542,1324.01,2.9424142,2460389.230214,FP
274942910,1325.01,1.0793011,2460393.552555,FP
275111900,1326.01,8.0428575,2459823.091016,FP
312083267,1327.01,3.9392211,2460553.891046,APC
330332501,1328.01,4.0157492,2459819.789519,FP
345996087,1329.01,2.01976,2458712.72322,FP
219338557,133.01,8.1995368,2458327.280273,PC
357457104,1330.01,1.748054,2459852.148977,FP
387664866,1331.01,2.65646,2458712.51758,FP
387664868,1332.01,2.65688,2458712.51369,FP
395171208,1333.01,4.7201912,2459847.968306,CP
42123111,1334.01,4.03349,2458686.4671,FP
89759617,1335.01,3.3295394,2459817.659426,FP
92783821,1336.01,3.8615978,2459442.068334,FP
160708862,1337.01,3.3448312,2460087.939719,KP
260128333,1338.01,95.174,2459238.21949,CP
269701147,1339.01,8.8803281,2460651.26694,CP
269701147,1339.02,28.580474,2460612.35145,CP
269701147,1339.03,38.3511223,2460661.127783,CP
234994474,134.01,1.4015183,2458326.034032,CP
233681149,1340.01,8.5865509,2458683.690471,FP
233390838,1341.01,6.4474918,2459820.572994,FP
256621916,1342.01,1.4136455,2460352.578093,FP
358631536,1343.01,3.4040139,2460552.940939,FP
1400770435,1344.01,13.7432169,2460637.867682,FP
160487753,1345.01,8.47134,2458715.45948,PC
219852882,1346.01,5.5025577,2459766.224945,CP
219852882,1346.02,1.7622537,2459741.887113,CP
229747848,1347.01,0.8474218,2459664.026959,CP
229747848,1347.02,4.8420438,2459656.582609,CP
229770036,1348.01,2.14056,2458684.50173,FP
272635712,1349.01,12.71672,2458693.57405,APC
267263253,135.01,4.1269046,2460174.637067,CP
233953967,1350.01,5.5402372,2459851.288394,PC
1718201850,1351.01,5.9294089,2460654.56565,APC
336740528,1352.01,5.2958813,2460604.777484,APC
279177746,1353.01,4.4350025,2460551.553803,FP
365683032,1354.01,1.4287976,2460556.601695,FP
372264750,1355.01,2.1702725,2459853.582179,PC
277566483,1356.01,24.2544697,2459849.242233,PC
357972447,1357.01,0.33759,2460393.796914,FP
275501623,1358.01,1.67346,2458739.59911,FP
416624606,1359.01,2.5152549,2459821.804188,FP
410153553,136.01,0.4629304,2458325.724125,CP
330468175,1360.01,0.70902,2458739.28,FP
277447970,1361.01,2.237462,2460608.708763,PC
395142888,1362.01,1.9173816,2460422.958913,PC
230017325,1363.01,9.6926509,2460649.216907,FP
26880783,1364.01,1.7753644,2460530.034744,PC
367099243,1365.01,1.8286961,2460421.898853,FP
120602501,1366.01,14.8626982,2459830.772785,FP
129539786,1367.01,2.0881134,2459850.248203,FP
136971594,1368.01,1.25562,2458711.81369,FP
155005217,1369.01,7.6047417,2459867.206961,FP
328750515,1403.01,2.3359622,2459825.344785,FP
352239069,1404.01,6.8674054,2459908.512546,PC
352239069,1404.02,14.431887,2459908.522961,PC
387834907,1405.01,12.64001,2458739.88011,FP
231736113,1406.01,10.5739824,2459218.231402,CP
69747919,1407.01,9.9783319,2459085.39112,KP
364186197,1408.01,4.4247042,2460661.181674,CP
364186197,1408.02,2.2222094,2460479.047419,KP
115771549,1409.01,4.7182888,2459844.125039,APC
403224672,141.01,1.0082361,2460178.671412,CP
199444169,1410.01,1.2168732,2459850.737058,CP
116483514,1411.01,1.4520486,2460447.085367,CP
116483734,1412.01,4.731977,2459714.075511,APC
119700084,1413.01,6.1182129,2459829.698976,PC
125442121,1414.01,3.0197807,2459853.583682,APC
148782377,1415.01,14.4204896,2458745.710132,PC
158025009,1416.01,1.0697621,2460423.263435,CP
176957796,137.01,4.8173797,2459199.440315,FA
155114483,1370.01,5.2651271,2459877.368408,FP
162130054,1371.01,5.0095595,2459848.525293,APC
164150539,1372.01,6.1600888,2459850.543759,FP
176899385,1373.01,3.8529998,2460605.038813,KP
190430205,1374.01,1.06884,2458712.06866,FP
190442486,1375.01,5.4561177,2459850.13104,FP
190743990,1376.01,1.7380504,2460582.487167,FP
